DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Khulna,1988-1989,972330,462000
Khulna,1989-1990,1072710,654590
Khulna,1990-1991,997570,627900
Khulna,1991-1992,1059780,655250
Khulna,1992-1993,1011220,643210
Khulna,1993-1994,974020,648610
Khulna,1994-1995,962060,547390
Khulna,1995-1996,896610,594910
Khulna,1996-1997,937240,647200
Khulna,1997-1998,892160,488940
Khulna,1998-1999,886930,601310
Khulna,1999-2000,922940,740020
Khulna,2000-2001,850850,664430
Khulna,2001-2002,873040,873040
Khulna,2002-2003,930330,775420
Khulna,2003-2004,871660,720670
Khulna,2004-2005,796220,651199
Khulna,2005-2006,800537,666957
Khulna,2006-2007,274505,220009
Khulna,2007-2008,267735,192869
Khulna,2008-2009,264390,212203
Khulna,2009-2010,217912,215848
Khulna,2010-2011,200321,176017
Khulna,2011-2012,206177,181186
Khulna,2012-2013,228120,208540
Khulna,2013-2014,134596,125844
Khulna,2014-2015,247129,255133
Khustia,2006-2007,156720,142393
Khustia,2007-2008,165940,159027
Khustia,2008-2009,192000,183231
Khustia,2009-2010,177877,175297
Khustia,2010-2011,192355,223212
Khustia,2011-2012,196862,221110
Khustia,2012-2013,184320,195512
Khustia,2013-2014,201083,176418
Khustia,2014-2015,196630,207546
Kishoregonj,1969-1970,588140,251340
Kishoregonj,1970-1971,539180,205650
Kishoregonj,1971-1972,559415,231475
Kishoregonj,1972-1973,564695,223995
Kishoregonj,1973-1974,554765,291190
Kishoregonj,1974-1975,977645,543010
Kishoregonj,1975-1976,525385,288810
Kishoregonj,1976-1977,509760,284360
Kishoregonj,1977-1978,504745,310425
Kishoregonj,1978-1979,505210,332815
Kishoregonj,1979-1980,583460,297855
Kishoregonj,1980-1981,580300,351570
Kishoregonj,1981-1982,577810,307220
Kishoregonj,1982-1983,578460,325755
Kishoregonj,1983-1984,586215,281905
Kishoregonj,1984-1985,600400,324940
Kishoregonj,1985-1986,570380,321405
Kishoregonj,1986-1987,621015,327035
Kishoregonj,1987-1988,481650,314495
Kishoregonj,1988-1989,383670,234970
Kishoregonj,1989-1990,465480,313080
Kishoregonj,1990-1991,466260,317250
Kishoregonj,1991-1992,436420,307390
Kishoregonj,1992-1993,478800,342090
Kishoregonj,1993-1994,427710,307220
Kishoregonj,1994-1995,466690,335850
Kishoregonj,1995-1996,501020,344270
Kishoregonj,1996-1997,516050,359390
Kishoregonj,1997-1998,419190,242460
Kishoregonj,1998-1999,362720,188170
Kishoregonj,1999-2000,515480,380920
Kishoregonj,2000-2001,474630,412290
Kishoregonj,2001-2002,482630,482630
Kishoregonj,2002-2003,452480,391800
Kishoregonj,2003-2004,449510,397920
Kishoregonj,2004-2005,420215,340008
Kishoregonj,2005-2006,442954,380281
Kishoregonj,2006-2007,157635,147209
Kishoregonj,2007-2008,156400,114327
Kishoregonj,2008-2009,167310,133432
Kishoregonj,2009-2010,173694,140425
Kishoregonj,2010-2011,184956,164197
Kishoregonj,2011-2012,180622,167220
Kishoregonj,2012-2013,177659,175864
Kishoregonj,2013-2014,181400,175719
Kishoregonj,2014-2015,184012,188211
Kurigram,2006-2007,258100,213481
Kurigram,2007-2008,224155,151496
Kurigram,2008-2009,240210,194546
Kurigram,2009-2010,245703,192536
Kurigram,2010-2011,262475,241414
Kurigram,2011-2012,264862,254520
Kurigram,2012-2013,259593,242266
Kurigram,2013-2014,267999,240339
Kurigram,2014-2015,256283,244592
Kushtia,1969-1970,148990,64600
Kushtia,1970-1971,150110,67520
Kushtia,1971-1972,53810,21920
Kushtia,1972-1973,138475,50920
Kushtia,1973-1974,139000,68615
Kushtia,1974-1975,158810,70465
Kushtia,1975-1976,151165,62145
Kushtia,1976-1977,174765,78235
Kushtia,1977-1978,0,72810
Kushtia,1978-1979,171650,90055
Kushtia,1979-1980,134585,73525
Kushtia,1980-1981,141075,75370
Kushtia,1981-1982,140470,68640
Kushtia,1982-1983,143845,67140
Kushtia,1983-1984,143805,80345
Kushtia,1984-1985,161975,107115
Kushtia,1985-1986,198125,120575
Kushtia,1986-1987,191825,114095
Kushtia,1987-1988,203980,129115
Kushtia,1988-1989,204990,140310
Kushtia,1989-1990,228875,176680
Kushtia,1990-1991,233800,185390
Kushtia,1991-1992,231770,190190
